Station Code	Latitude	Longitude
SWUT	39.328602	-113.195396	
SZCU	37.595402	-113.087502	
TCMU	40.437698	-111.7118	
TCRU	38.609501	-112.447197	
TCU	41.117329	-111.407837	
TCUT	41.117329	-111.407837	
TCVU	40.4436	-111.7052	
TM2	39.296501	-111.208168	
TMTA	36.97683	-113.348	
TMU	39.296501	-111.208168	
TMUT	41.697498	-112.342499	
TPU	40.430199	-111.902199	
TRS	40.513882	-112.31057	
TS1	39.36367	-111.21183	
TS2	39.303169	-111.252831	
TS3	39.306	-111.223	
TS4	39.258339	-111.255997	
TS5	39.263828	-111.17733	
TS6	39.183331	-111.086166	
TWUT	39.090328	-110.771667	
UHP	40.991699	-111.897552	
UTH	41.144199	-111.925301	
UUE	40.768501	-111.845299	
VEC	40.653481	-112.032516	
VES	41.26194	-111.76889	
VNL	40.458099	-109.548203	
VRUT	37.4618	-113.856903	
WADU	37.091999	-113.487663	
WBC	41.139702	-111.900803	
WCF	41.639172	-111.931381	
WCO	37.131802	-113.509399	
WCU	38.964668	-112.090668	
WDO	37.107601	-113.586502	
WES	40.732899	-111.854301	
WHS	40.7752	-111.898773	
WHU	39.380501	-112.16983	
WLJ	40.613331	-111.344673	
WMU	40.088329	-111.82267	
WMUT	40.076672	-111.833344	
WPUT	38.997501	-111.358902	
WRG	40.66	-112.029999	
WRP	40.81361	-111.931107	
WRU	41.016171	-112.061333	
WTU	40.45483	-111.953499	
WTU2	40.45483	-111.953499	
WVUT	41.610168	-111.959167	
ZNPU	37.356098	-113.125397	
