lon lat depth 0
-111.032 44.8038 1.42 0.138
-111.074 44.6208 3.73 0.17
-111.206 39.2782 5.68 0.288
-111.207 39.2833 6.12 0.314
-111.21 39.2868 5.78 0.31
-111.341 38.9652 1.38 0.374
-111.136 44.7328 8.19 0.206
-110.777 44.7542 3.68 0.258
-111.209 39.284 7.27 0.306
-110.435 44.651 2.03 0.154
-111.343 38.9648 11.55 0.396
-111.21 39.2898 5.73 0.322
-111.13 42.6875 3.34 -1.998
-112.836 37.9788 6.74 0.406
-110.177 43.9578 5.27 0.422
-111.361 38.9625 8.71 0.36
-111.089 44.7713 6.86 0.178
-111.061 44.7218 8.5 0.196
-111.525 42.0068 0.48 0.398
-111.105 44.7465 10.11 0.018
-113.26 37.6902 1.09 0.352
-111.207 39.2895 6.37 0.352
-111.211 39.2938 5.85 0.344
-111.38 42.8905 1.93 -1.998
-111.892 40.2425 6.87 0.24
-111.209 39.2927 5.97 0.338
-110.869 44.7503 3.56 0.112
-111.21 39.2983 6.71 0.352
-110.999 44.8145 1.2 0.258
-111.106 44.764 8.13 0.112
-109.919 44.6858 5.66 0.258
-111.351 38.9618 1.31 0.348
-111.206 39.2953 6.99 0.316
-110.477 44.5707 4.97 0.266
-112.24 41.5668 9.16 0.186
-111.578 40.6412 11.74 0.254
-111.215 39.2945 7.3 0.376
-111.103 39.4133 5.29 0.386
-111.087 44.7232 11.43 0.038
-111.338 42.7528 0.71 0.338
-112.563 41.9283 3.93 0.158
-111.362 38.9675 9.92 0.362
-111.024 44.6408 1.3 0.266
-111.205 39.2863 5.1 0.364
-111.317 42.762 1.11 0.404
-111.104 39.4102 5.25 0.378
-111.208 39.293 2.36 0.358
-110.504 44.3207 1.52 0.164
-111.188 39.259 6.36 0.36
-110.595 44.5197 2.3 0.224
-111.208 39.2878 2.43 0.306
-111.111 39.4192 5.87 0.434
-113.255 37.7008 0.06 0.416
-110.894 44.7572 4.49 0.188
-111.103 39.411 5.55 0.34
-110.634 44.7513 3.46 0.198
-110.711 44.7135 2.32 0.2
-110.657 44.7517 2.73 0.108
-111 44.8198 1.35 0.134
-111.105 39.4152 4.96 0.394
-111.206 39.2868 2.17 0.34
-112.03 38.7333 1.95 0.41
-112.035 38.732 1.95 0.452
-111.207 39.292 6.38 0.352
-110.406 44.6877 0.79 0.362
-111.202 39.2902 7.4 0.352
-111.197 39.2973 1.81 0.392
-110.999 44.8162 1.33 0.056
-111.207 39.2947 2.22 0.354
-111.481 40.7555 9.22 0.022
-111.472 40.7778 6.44 0.104
-111.482 40.75 8 0.084
-111.448 40.3623 10.65 0.008
-111.001 44.8187 0.61 0.19
-110.994 44.8223 0.01 0.14
