shot	time	lat	lon	depth
271	94:173:00:37:39.749	40.932728	-125.654655	7.5
272	94:173:00:37:59.647	40.932617	-125.654068	7.5
273	94:173:00:38:19.547	40.932503	-125.653488	7.5
274	94:173:00:38:39.472	40.932388	-125.652908	7.5
275	94:173:00:38:59.352	40.932274	-125.652328	7.5
276	94:173:00:39:19.209	40.932159	-125.651749	7.5
277	94:173:00:39:39.057	40.932045	-125.651169	7.5
278	94:173:00:39:58.842	40.931931	-125.650589	7.5
279	94:173:00:40:18.553	40.931831	-125.649994	7.5
280	94:173:00:40:38.197	40.931702	-125.649406	7.5
281	94:173:00:40:57.785	40.931576	-125.648819	7.5
282	94:173:00:41:17.274	40.931431	-125.648232	7.5
283	94:173:00:41:36.673	40.931305	-125.647644	7.5
284	94:173:00:41:55.952	40.931187	-125.647049	7.5
285	94:173:00:42:15.416	40.931057	-125.646446	7.5
286	94:173:00:42:34.815	40.930931	-125.645844	7.5
287	94:173:00:42:54.181	40.930801	-125.645241	7.5
288	94:173:00:43:13.470	40.930668	-125.644653	7.5
289	94:173:00:43:32.736	40.93055	-125.644058	7.5
290	94:173:00:43:52.004	40.930431	-125.643471	7.5
291	94:173:00:44:11.175	40.930317	-125.642876	7.5
292	94:173:00:44:30.298	40.930195	-125.642273	7.5
293	94:173:00:44:49.358	40.930069	-125.641685	7.5
294	94:173:00:45:08.346	40.929943	-125.641098	7.5
295	94:173:00:45:27.285	40.929825	-125.640518	7.5
296	94:173:00:45:46.181	40.92971	-125.639938	7.5
297	94:173:00:46:05.030	40.929596	-125.639366	7.5
298	94:173:00:46:23.839	40.929482	-125.638786	7.5
299	94:173:00:46:42.654	40.929379	-125.638206	7.5
300	94:173:00:47:01.453	40.929287	-125.637627	7.5
301	94:173:00:47:20.263	40.929173	-125.637054	7.5
302	94:173:00:47:39.078	40.929092	-125.636475	7.5
303	94:173:00:47:57.918	40.929001	-125.635895	7.5
304	94:173:00:48:16.765	40.928917	-125.635307	7.5
305	94:173:00:48:35.592	40.928833	-125.634727	7.5
306	94:173:00:48:54.420	40.928749	-125.634148	7.5
307	94:173:00:49:13.218	40.928658	-125.633568	7.5
308	94:173:00:49:31.996	40.928581	-125.632973	7.5
309	94:173:00:49:50.732	40.928513	-125.632378	7.5
310	94:173:00:50:09.423	40.928455	-125.631783	7.5
311	94:173:00:50:28.049	40.928379	-125.631195	7.5
312	94:173:00:50:46.617	40.928295	-125.630608	7.5
313	94:173:00:51:05.144	40.928211	-125.63002	7.5
314	94:173:00:51:23.644	40.928123	-125.629433	7.5
315	94:173:00:51:42.130	40.92804	-125.628838	7.5
316	94:173:00:52:00.598	40.927967	-125.628242	7.5
317	94:173:00:52:19.046	40.927891	-125.62767	7.5
318	94:173:00:52:37.472	40.927807	-125.627106	7.5
319	94:173:00:52:55.921	40.927734	-125.626526	7.5
320	94:173:00:53:14.359	40.92765	-125.625977	7.5
321	94:173:00:53:32.800	40.927586	-125.625404	7.5
322	94:173:00:53:51.255	40.927498	-125.624855	7.5
323	94:173:00:54:09.733	40.927437	-125.624283	7.5
324	94:173:00:54:28.251	40.927349	-125.623711	7.5
325	94:173:00:54:46.840	40.927269	-125.623138	7.5
326	94:173:00:55:05.505	40.927174	-125.622559	7.5
327	94:173:00:55:24.284	40.927097	-125.621964	7.5
328	94:173:00:55:43.162	40.926998	-125.621368	7.5
329	94:173:00:56:02.073	40.926907	-125.620773	7.5
330	94:173:00:56:21.078	40.926807	-125.620186	7.5
331	94:173:00:56:40.166	40.926723	-125.619583	7.5
332	94:173:00:56:59.263	40.926643	-125.61898	7.5
333	94:173:00:57:18.370	40.926563	-125.618347	7.5
334	94:173:00:57:37.437	40.926476	-125.617722	7.5
335	94:173:00:57:56.428	40.926384	-125.617104	7.5
336	94:173:00:58:15.297	40.926311	-125.616493	7.5
337	94:173:00:58:34.082	40.926216	-125.615898	7.5
338	94:173:00:58:52.811	40.92614	-125.615288	7.5
339	94:173:00:59:11.497	40.92606	-125.614693	7.5
340	94:173:00:59:30.118	40.925976	-125.614105	7.5
341	94:173:00:59:48.716	40.925892	-125.613518	7.5
342	94:173:01:00:07.280	40.925793	-125.612938	7.5
343	94:173:01:00:25.851	40.925709	-125.612366	7.5
344	94:173:01:00:44.415	40.925632	-125.611794	7.5
345	94:173:01:01:02.996	40.925545	-125.611214	7.5
346	94:173:01:01:21.574	40.925465	-125.610641	7.5
347	94:173:01:01:40.171	40.925381	-125.610069	7.5
348	94:173:01:01:58.750	40.925293	-125.609489	7.5
349	94:173:01:02:17.326	40.925217	-125.60891	7.5
350	94:173:01:02:35.898	40.925129	-125.608315	7.5
351	94:173:01:02:54.501	40.92503	-125.607735	7.5
352	94:173:01:03:13.100	40.924938	-125.607147	7.5
353	94:173:01:03:31.708	40.92485	-125.606552	7.5
354	94:173:01:03:50.366	40.924751	-125.605972	7.5
355	94:173:01:04:09.076	40.924664	-125.605377	7.5
356	94:173:01:04:27.863	40.924557	-125.60479	7.5
357	94:173:01:04:46.762	40.924477	-125.604195	7.5
358	94:173:01:05:05.650	40.924381	-125.603607	7.5
359	94:173:01:05:24.596	40.924282	-125.60302	7.5
360	94:173:01:05:43.555	40.924198	-125.602432	7.5
361	94:173:01:06:02.489	40.924118	-125.601845	7.5
362	94:173:01:06:21.389	40.924026	-125.601265	7.5
363	94:173:01:06:40.284	40.923946	-125.600677	7.5
364	94:173:01:06:59.133	40.923859	-125.600098	7.5
365	94:173:01:07:17.991	40.923763	-125.59951	7.5
366	94:173:01:07:36.850	40.923687	-125.59893	7.5
367	94:173:01:07:55.767	40.923603	-125.598343	7.5
368	94:173:01:08:14.717	40.923523	-125.597755	7.5
369	94:173:01:08:33.712	40.923431	-125.597168	7.5
370	94:173:01:08:52.754	40.923351	-125.596581	7.5
371	94:173:01:09:11.790	40.923264	-125.595993	7.5
372	94:173:01:09:30.797	40.923168	-125.595398	7.5
373	94:173:01:09:49.764	40.923088	-125.594818	7.5
374	94:173:01:10:08.644	40.923008	-125.594231	7.5
375	94:173:01:10:27.420	40.922916	-125.593651	7.5
376	94:173:01:10:46.097	40.922836	-125.593071	7.5
377	94:173:01:11:04.668	40.922745	-125.592499	7.5
378	94:173:01:11:23.154	40.922653	-125.591942	7.5
379	94:173:01:11:41.623	40.922592	-125.591385	7.5
380	94:173:01:12:00.086	40.92252	-125.59082	7.5
381	94:173:01:12:18.579	40.922466	-125.590271	7.5
382	94:173:01:12:37.132	40.922394	-125.589722	7.5
383	94:173:01:12:55.834	40.922314	-125.589157	7.5
384	94:173:01:13:14.600	40.922249	-125.588608	7.5
385	94:173:01:13:33.437	40.922176	-125.588058	7.5
386	94:173:01:13:52.375	40.922115	-125.587509	7.5
387	94:173:01:14:11.313	40.922035	-125.586952	7.5
388	94:173:01:14:30.280	40.921974	-125.58638	7.5
389	94:173:01:14:49.289	40.921909	-125.585815	7.5
390	94:173:01:15:08.316	40.921848	-125.585251	7.5
391	94:173:01:15:27.398	40.921783	-125.584694	7.5
392	94:173:01:15:46.451	40.921722	-125.584145	7.5
393	94:173:01:16:05.530	40.921677	-125.583588	7.5
394	94:173:01:16:24.650	40.921631	-125.583023	7.5
395	94:173:01:16:43.828	40.921558	-125.582466	7.5
396	94:173:01:17:03.055	40.921482	-125.581902	7.5
397	94:173:01:17:22.312	40.921413	-125.581345	7.5
398	94:173:01:17:41.623	40.921341	-125.58078	7.5
399	94:173:01:18:00.947	40.92128	-125.580215	7.5
400	94:173:01:18:20.305	40.921215	-125.579636	7.5
401	94:173:01:18:39.645	40.921143	-125.579056	7.5
402	94:173:01:18:58.959	40.921059	-125.578491	7.5
403	94:173:01:19:18.237	40.920975	-125.577927	7.5
404	94:173:01:19:37.485	40.92091	-125.577362	7.5
405	94:173:01:19:56.744	40.920845	-125.576797	7.5
406	94:173:01:20:15.981	40.920792	-125.576233	7.5
407	94:173:01:20:35.248	40.920719	-125.575676	7.5
408	94:173:01:20:54.536	40.920635	-125.575119	7.5
409	94:173:01:21:13.864	40.920559	-125.574562	7.5
410	94:173:01:21:33.262	40.920483	-125.574005	7.5
411	94:173:01:21:52.712	40.920403	-125.573448	7.5
412	94:173:01:22:12.146	40.920326	-125.572876	7.5
413	94:173:01:22:31.642	40.92025	-125.572304	7.5
414	94:173:01:22:51.054	40.920181	-125.571732	7.5
415	94:173:01:23:10.410	40.92012	-125.571167	7.5
416	94:173:01:23:29.730	40.920048	-125.570602	7.5
417	94:173:01:23:49.004	40.919979	-125.570038	7.5
418	94:173:01:24:08.273	40.919903	-125.569481	7.5
419	94:173:01:24:27.531	40.919827	-125.568909	7.5
420	94:173:01:24:46.819	40.91975	-125.568344	7.5
421	94:173:01:25:06.147	40.919666	-125.567772	7.5
422	94:173:01:25:25.535	40.919582	-125.567223	7.5
423	94:173:01:25:45.003	40.91951	-125.566658	7.5
424	94:173:01:26:04.530	40.919437	-125.566093	7.5
425	94:173:01:26:24.117	40.919373	-125.565521	7.5
426	94:173:01:26:43.726	40.919296	-125.564957	7.5
427	94:173:01:27:03.323	40.919205	-125.564384	7.5
428	94:173:01:27:22.911	40.919121	-125.563812	7.5
429	94:173:01:27:42.499	40.919048	-125.563232	7.5
430	94:173:01:28:02.075	40.918964	-125.56266	7.5
431	94:173:01:28:21.636	40.918888	-125.562096	7.5
432	94:173:01:28:41.232	40.918816	-125.561531	7.5
433	94:173:01:29:00.839	40.918736	-125.560959	7.5
434	94:173:01:29:20.497	40.918678	-125.560394	7.5
435	94:173:01:29:40.215	40.918602	-125.559837	7.5
436	94:173:01:29:59.972	40.918526	-125.55928	7.5
437	94:173:01:30:19.770	40.918449	-125.558708	7.5
438	94:173:01:30:39.611	40.918373	-125.558136	7.5
439	94:173:01:30:59.465	40.918285	-125.557564	7.5
440	94:173:01:31:19.343	40.918201	-125.556992	7.5
441	94:173:01:31:39.241	40.918129	-125.556412	7.5
442	94:173:01:31:59.100	40.918049	-125.55584	7.5
443	94:173:01:32:18.938	40.917973	-125.555275	7.5
444	94:173:01:32:38.765	40.917889	-125.554718	7.5
445	94:173:01:32:58.582	40.917812	-125.554153	7.5
446	94:173:01:33:18.389	40.917744	-125.553596	7.5
447	94:173:01:33:38.207	40.917656	-125.553032	7.5
448	94:173:01:33:58.055	40.917576	-125.552475	7.5
449	94:173:01:34:17.903	40.917503	-125.55191	7.5
450	94:173:01:34:37.790	40.917412	-125.551346	7.5
451	94:173:01:34:57.731	40.917328	-125.550789	7.5
452	94:173:01:35:17.698	40.91724	-125.550186	7.5
453	94:173:01:35:37.686	40.917152	-125.549583	7.5
454	94:173:01:35:57.732	40.917046	-125.548988	7.5
455	94:173:01:36:17.758	40.916954	-125.548409	7.5
456	94:173:01:36:37.803	40.916862	-125.547829	7.5
457	94:173:01:36:57.909	40.916767	-125.547249	7.5
458	94:173:01:37:17.957	40.916687	-125.546661	7.5
459	94:173:01:37:37.999	40.916588	-125.546089	7.5
460	94:173:01:37:58.081	40.9165	-125.545502	7.5
461	94:173:01:38:18.191	40.916393	-125.54493	7.5
462	94:173:01:38:38.322	40.916309	-125.54435	7.5
463	94:173:01:38:58.511	40.916229	-125.54377	7.5
464	94:173:01:39:18.778	40.916149	-125.543167	7.5
465	94:173:01:39:39.096	40.916058	-125.542572	7.5
466	94:173:01:39:59.472	40.915966	-125.541969	7.5
467	94:173:01:40:19.930	40.915871	-125.541412	7.5
468	94:173:01:40:40.438	40.915791	-125.540855	7.5
469	94:173:01:41:01.006	40.915714	-125.540298	7.5
470	94:173:01:41:21.653	40.915638	-125.539719	7.5
471	94:173:01:41:42.352	40.915543	-125.539146	7.5
472	94:173:01:42:03.070	40.915443	-125.538582	7.5
473	94:173:01:42:23.848	40.915344	-125.538017	7.5
474	94:173:01:42:44.623	40.915264	-125.537453	7.5
475	94:173:01:43:05.411	40.915184	-125.536888	7.5
476	94:173:01:43:26.179	40.915112	-125.536324	7.5
477	94:173:01:43:46.949	40.91502	-125.535759	7.5
478	94:173:01:44:07.684	40.91494	-125.535194	7.5
479	94:173:01:44:28.361	40.914845	-125.534615	7.5
480	94:173:01:44:48.989	40.914761	-125.534042	7.5
481	94:173:01:45:09.547	40.914673	-125.533478	7.5
482	94:173:01:45:30.057	40.914585	-125.532906	7.5
483	94:173:01:45:50.494	40.914501	-125.532341	7.5
484	94:173:01:46:10.849	40.914429	-125.531769	7.5
